Date,Close/Last,Volume,Open,High,Low
08/02/2023,$6.89,45789040,$7.05,$7.09,$6.7401
08/01/2023,$7.27,38156790,$7.465,$7.465,$7.16
07/31/2023,$7.61,47025160,$7.54,$7.75,$7.41
07/28/2023,$7.47,68241070,$7.06,$7.54,$6.985
07/27/2023,$6.89,42823600,$7.25,$7.45,$6.87
07/26/2023,$7.17,44303350,$6.87,$7.29,$6.86
07/25/2023,$6.84,33519450,$7.22,$7.28,$6.83
07/24/2023,$7.17,41743050,$6.90,$7.26,$6.82
07/21/2023,$6.87,87169000,$7.07,$7.15,$6.67
07/20/2023,$6.92,47132100,$7.165,$7.165,$6.83
07/19/2023,$7.25,66654790,$7.14,$7.695,$7.13
07/18/2023,$7.04,38237780,$7.04,$7.28,$6.94
07/17/2023,$7.03,42128670,$6.77,$7.11,$6.60
07/14/2023,$6.70,55472100,$7.13,$7.20,$6.67
07/13/2023,$7.12,50570490,$7.17,$7.42,$7.10
07/12/2023,$7.16,122623200,$7.74,$7.89,$7.08
07/11/2023,$8.12,57013660,$8.00,$8.37,$7.87
07/10/2023,$7.93,65947530,$7.64,$7.97,$7.24
07/07/2023,$7.45,75916190,$7.10,$7.73,$7.08
07/06/2023,$7.08,45047090,$7.22,$7.2787,$6.86
07/05/2023,$7.41,53576830,$7.41,$7.53,$7.15
07/03/2023,$7.39,53103150,$7.06,$7.44,$7.00
06/30/2023,$6.89,73348890,$7.02,$7.18,$6.64
06/29/2023,$6.88,72430490,$6.475,$6.94,$6.41
06/28/2023,$6.42,68546350,$6.09,$6.54,$6.03
06/27/2023,$6.10,74181420,$5.79,$6.15,$5.56
06/26/2023,$5.55,108379600,$6.01,$6.28,$5.55
06/23/2023,$5.47,62252560,$5.65,$5.75,$5.46
06/22/2023,$5.73,47898070,$6.07,$6.08,$5.72
06/21/2023,$6.05,49954060,$6.30,$6.31,$6.00
06/20/2023,$6.32,32733090,$6.53,$6.58,$6.26
06/16/2023,$6.48,45154400,$6.61,$6.76,$6.44
06/15/2023,$6.59,41955520,$6.39,$6.75,$6.33
06/14/2023,$6.40,37444350,$6.61,$6.655,$6.34
06/13/2023,$6.55,64473520,$6.37,$6.66,$6.23
06/12/2023,$6.27,38628920,$6.31,$6.52,$6.23
06/09/2023,$6.21,35958630,$6.35,$6.40,$6.13
06/08/2023,$6.28,50227960,$6.63,$6.70,$6.26
06/07/2023,$6.40,46769220,$6.90,$6.925,$6.40
06/06/2023,$6.90,43033000,$6.55,$6.91,$6.5331
06/05/2023,$6.59,35903300,$6.59,$6.61,$6.33
06/02/2023,$6.60,52420590,$6.55,$6.61,$6.39
06/01/2023,$6.50,161052800,$6.78,$6.82,$6.20
05/31/2023,$7.76,32478060,$7.67,$7.81,$7.49
05/30/2023,$7.71,13985950,$7.95,$8.095,$7.63
05/26/2023,$7.87,14524840,$7.59,$7.99,$7.52
